company,sector,subsector,round,amount_m,valuation_m,lead_investors,other_investors,date,location,quarter,year,robotnik_notes,source
Infravision,Robotics,Autonomous Systems & Drones,Series B,91.0,,GIC (Singapore sovereign fund),"Activate Capital, Hitachi Ventures, Energy Impact Partners",2025-11-03,"USA (Austin, TX)",4Q25,2025,Autonomous inspection and monitoring using aerial and ground robots for industrial infrastructure. GIC (Singapore sovereign fund) leading $91M Series B signals institutional confidence in industrial autonomy. Competes with Skydio and Percepto in drone-based inspection. Watch for oil & gas and utility enterprise contracts.,https://www.businesswire.com/news/home/20251103251689/en/Infravision-Raises-$91-Million-Series-B
Reflex Aerospace,Space,Satellite Communications,Series A,55.0,,Human Element,"Alpine Space Ventures, Bayern Kapital, HTGF, Renovatio Financial Investments",2025-11-04,Germany (Berlin),4Q25,2025,German satellite manufacturer building standardised smallsat buses for constellation operators. Competes with Airbus OneWeb Satellites and York Space Systems. €55M Series A from Human Element is substantial for early-stage European space hardware. Watch for first satellite delivery and constellation customer announcements.,https://spacenews.com/reflex-aerospace-raises-50-million-euros/
Sunflower Labs,Robotics,Autonomous Systems & Drones,Series B,16.0,,Sequoia Capital,"Alarm.com, DRONE FUND, Gentian Investments, Wakestream Ventures",2025-11-04,"USA (San Francisco, CA)",4Q25,2025,Autonomous drone-based home security providing AI-powered aerial surveillance. $16M Series B from Sequoia Capital validates consumer/prosumer security drone market. Competes with Ring (Amazon) and traditional home security. Watch for insurance partnerships and geographic expansion.,https://www.auvsi.org/news/sunflower-labs-receives-nationwide-faa-approval-launches-property-configuration-tool-and-closes-16m-series-b/
Farcast,Space,Ground Systems & Antennas,Undisclosed,5.0,,Telesat (strategic),,2025-11-04,"USA (San Francisco, CA)",4Q25,2025,Develops ground segment software for satellite communication networks. Telesat strategic investment signals alignment with Telesat's Lightspeed LEO constellation. $5M is modest but strategic capital. Competes with Kratos (KTOS) in ground systems. Watch for Telesat Lightspeed integration milestones.,https://www.telesat.com/press/press-releases/telesat-invests-us5-million-in-farcast/
TRIC Robotics,Robotics,Autonomous Systems & Drones,Series A,30,,Multiple,,2025-11-05,USA,4Q25,2025,"Autonomous robot for residential HVAC installation and maintenance, targeting labor-shortage trades.",https://techcrunch.com
Neros,Robotics,Autonomous Systems & Drones,Series B,75.0,,Sequoia Capital,"Vy Capital, Interlagos",2025-11-07,"USA (Los Angeles, CA)",4Q25,2025,"AI compute infrastructure company building custom silicon for inference workloads. $75M Series B from Sequoia Capital is a strong endorsement for compute-layer startups. Competes with Groq, Cerebras, and NVIDIA (NVDA) in inference. Watch for first customer deployments and benchmark results.",https://www.businesswire.com/news/home/20251107969770/en/Neros-Closes-$75M-Series-B
Foxglove,Robotics,Software & Simulation,Series B,40.0,,Bessemer Venture Partners,"Eclipse, Amplify Partners, Tobi Lutke, Alex Kendall, Brad Porter, Boris Sofman",2025-11-12,"USA (San Francisco, CA)",4Q25,2025,Open-source robotics data infrastructure platform for visualising and debugging robot sensor data. $40M Series B from Bessemer is notable for developer-tools-for-robotics niche. Competes with ROS ecosystem tools and proprietary alternatives. Watch for enterprise adoption by robotics OEMs and fleet operators.,https://www.businesswire.com/news/home/20251112126106/en/Foxglove-Raises-$40-Million-Series-B
Forterra,Robotics,Autonomous Systems & Drones,Series C,238.0,1000.0,Moore Strategic Ventures,"Salesforce Ventures, Franklin Templeton, Balyasny, 645 Ventures, Hanwha AM, XYZ Venture Capital, Hedosophia, Enlightenment Capital",2025-11-12,"USA (Reston, VA)",4Q25,2025,"Autonomous ground vehicle company focused on military logistics and combat support. $238M Series C from Moore Strategic Ventures is one of the largest defence autonomy raises of 2025. Competes with Anduril, Shield AI, and Oshkosh (OSK). Watch for US Army programme-of-record wins and NATO expansion.",https://www.globenewswire.com/news-release/2025/11/12/3186114/0/en/Forterra-Closes-238-Million-Series-C
Fabric8Labs,Semiconductors,OSAT / Packaging & Test,Series B,50.0,,"NEA, Intel Capital","Lam Capital, TDK Ventures, SE Ventures, SK Hynix, Ericsson Ventures, Masco Ventures, Toppan",2025-11-13,"USA (San Diego, CA)",4Q25,2025,Electrochemical 3D printing of metal structures for advanced semiconductor packaging and electronics. $50M Series B co-led by NEA and Intel Capital is strong validation from semiconductor strategic investor. Competes with traditional OSAT players like ASE (3711 TT) and Amkor (AMKR). Watch for production ramp with Intel (INTC) or other foundry customers.,https://www.fabric8labs.com/fabric8labs-funding-nov-2025/
CHAOS Industries,Robotics,Autonomous Systems & Drones,Series D,510.0,4500.0,Valor Equity Partners,"8VC, Accel",2025-11-13,"USA (Los Angeles, CA)",4Q25,2025,Defence technology company building AI-powered autonomous systems for national security missions. $510M Series D from Valor Equity Partners is massive for test & measurement / defence-adjacent company. Competes with Anduril and Palantir (PLTR) in defence AI. Watch for major DoD contract awards and potential IPO path.,https://www.businesswire.com/news/home/20251113579391/en/CHAOS-Industries-Raises-$510-Million
Zipline,Robotics,Autonomous Systems & Drones,Series H,800,4500,Multiple,,2025-11-14,USA (San Francisco),4Q25,2025,Drone delivery platform operating in 7 countries. Largest autonomous delivery network; signals maturation of commercial drone logistics.,https://techcrunch.com/2025/11/14/zipline-raises-800m
Hummink,Semiconductors,Equipment,Series A,16.0,,"KBC Focus Fund, Cap Horn, Bpifrance","Elaia Partners, Sensinnovat, Beeyond, French Tech Seed Fund, EIC Fund",2025-11-17,France (Paris),4Q25,2025,Develops inkjet printing equipment for next-gen semiconductor interconnect patterning. $16M Series A is appropriate for European semiconductor equipment at this stage. Competes with traditional lithography from ASML (ASML) for select applications. Watch for pilot installations at European fabs and IMEC collaboration.,https://www.eu-startups.com/2025/11/french-deeptech-hummink-secures-e15-million/
Celero Communications,Semiconductors,Fabless Design,Series B,100.0,,CapitalG (Alphabet),"Sutter Hill Ventures, Valor Equity Partners, Atreides Management, Maverick Silicon",2025-11-17,"USA (Irvine, CA)",4Q25,2025,"Silicon photonics interconnect chipmaker for AI data centre networking. $100M Series B led by CapitalG (Alphabet) signals strategic importance for Google's AI infrastructure. Competes with Ayar Labs, Lightmatter, and Broadcom (AVGO) in optical interconnect. Watch for design wins with hyperscaler customers.",https://www.businesswire.com/news/home/20251117434388/en/Celero-Communications-Secures-$140-Million
Bone AI,Robotics,Autonomous Systems & Drones,Seed,12.0,,Third Prime,"Kolon Group (strategic, South Korea)",2025-11-17,South Korea (Seoul),4Q25,2025,Korean defence drone startup developing AI-powered autonomous aerial systems. $12M seed from Third Prime is above-median for Korean defence-tech. Competes with Korean incumbents (Hanwha Systems) and AeroVironment (AVAV). Watch for Korean MND procurement contracts and export opportunities.,https://techcrunch.com/2025/11/17/bone-ai-raises-funding-to-challenge-asias-defense-giants/
Leanspace,Space,Ground Systems & Antennas,Series A,11.0,,"ISAI Cap Venture, Capgemini Ventures","42CAP, Karista, Qwaltec",2025-11-17,France (Strasbourg),4Q25,2025,"Cloud-native space operations software platform for satellite operators. $11M Series A is solid for European space software. Competes with Cognitive Space, Slingshot Aerospace, and legacy ground segment providers. Watch for adoption by European constellation operators and ESA contracts.",https://spacenews.com/leanspace-raises-e10-million-series-a-round/
Infinite Orbits,Space,In-Orbit Services,Series A (extension),44.0,,"Matterwave Ventures, Wind Capital","EIC Fund, IRDI, Newfund, Balnord",2025-11-17,France (Toulouse),4Q25,2025,In-orbit servicing and life extension for geostationary satellites. €44M Series A extension positions Infinite Orbits for first mission deployment. Competes with Northrop Grumman's MEV and Astroscale in satellite servicing. Watch for first GEO client contract and mission execution.,https://www.eu-startups.com/2025/11/french-spacetech-startup-infinite-orbits-lands-e40-million/
PowerLattice,Semiconductors,Power & Analog,Series A,25,,"Playground Global, Celesta Capital",Pat Gelsinger (ex-Intel CEO),2025-11-17,USA,4Q25,2025,"Industry's first power delivery chiplet that integrates voltage regulation directly into the processor package, reducing total compute power by 50%. First chiplets produced by TSMC.",https://www.geekwire.com/2025/powerlattice-a-new-semiconductor-startup-backed-by-former-intel-ceo-raises-25m/
NcodiN,Semiconductors,Fabless Design,Seed,18.0,,MIG Capital,"Maverick Silicon, PhotonVentures, Verve Ventures, Elaia, Earlybird, OVNI",2025-11-19,France (Paris),4Q25,2025,"Designs neuromorphic AI processors for edge computing applications. €18M seed from MIG Capital is strong for French fabless semiconductor. Competes with Intel (INTC) Loihi, BrainChip, and SynSense in neuromorphic chips. Watch for first tapeout and benchmark comparisons with conventional edge AI chips.",https://www.businesswire.com/news/home/20251119479101/en/NcodiN-Secures-16M-Seed-Round
Ursa Major,Space,Launch,Series E,100.0,600.0,Eclipse,"Woodline Partners, Principia Growth, XN, Alsop Louie Partners; +$50M debt",2025-11-19,"USA (Berthoud, CO)",4Q25,2025,Rocket engine and propulsion component manufacturer (metal 3D-printed engines). $100M Series E from Eclipse continues strong growth trajectory. Competes with Aerojet Rocketdyne (now L3Harris) and SpaceX in propulsion. Watch for Ursa Major engines powering first orbital launch vehicle.,https://ursamajor.com/media/press-release/ursa-major-raises-100-million-closes-series-e/
Flexion Robotics,Robotics,Humanoid & Service Robots,Series A,50.0,,DST Global Partners,"NVentures (NVIDIA), Prosus Ventures, Redalpine, Moonfire",2025-11-20,Switzerland (Zurich),4Q25,2025,"Swiss humanoid robotics company developing dexterous manipulation platforms. $50M Series A from DST Global Partners is strong for European humanoid startup. Competes with Figure AI, 1X Technologies, and Apptronik. Watch for first commercial pilot deployments and manufacturing partnerships.",https://www.eu-startups.com/2025/11/zurichs-flexion-raises-e50-million/
Point One Navigation,Robotics,Machine Vision & Sensors,Series C,35.0,230.0,Khosla Ventures,"IA Ventures, UP Partners, Alumni Ventures",2025-11-20,"USA (San Francisco, CA)",4Q25,2025,Precision positioning platform for autonomous vehicles and robotics using GNSS corrections. $35M Series C from Khosla Ventures extends runway for scaling autonomous positioning. Competes with Trimble (TRMB) and u-blox in high-precision GNSS. Watch for robotaxi fleet adoption and integration with autonomous driving stacks.,https://www.prnewswire.com/news-releases/point-one-navigation-raises-35-million-series-c-302621331.html
Zadient Technologies,Materials,Silicon & Substrates,Series A,38.0,,Credit Mutuel Impact,EIC Fund,2025-11-24,France (Chambery),4Q25,2025,"Develops silicon carbide (SiC) crystal growth technology for power semiconductor substrates. €38M Series A is substantial for European SiC substrate play. Competes directly with Wolfspeed (WOLF), Coherent (COHR), and Shin-Etsu (4063 JP). Watch for first commercial substrate shipments and EV power module qualification.",https://eic.ec.europa.eu/news/first-eic-step-scale-investments-disbursed-2025-11-24_en
Robotera,Robotics,Humanoid & Service Robots,Series A,140,,Chinese VCs,,2025-11-25,China,4Q25,2025,Chinese humanoid robot developer targeting factory automation and service applications.,https://techcrunch.com
Quantum Systems,Robotics,Autonomous Systems & Drones,Series C (extension),208.0,3500.0,Balderton Capital,Previous investors,2025-11-27,Germany (Munich),4Q25,2025,"German defence drone company building autonomous VTOL reconnaissance and strike systems. €208M Series C extension from Balderton is massive for European defence-tech. Competes with AeroVironment (AVAV), Kratos (KTOS), and Turkish drone makers. Watch for NATO procurement contracts and Ukrainian battlefield adoption.",https://techstartups.com/2025/11/27/german-drone-startup-quantum-systems-triples-valuation/
SpaceComputer,Space,Satellite Communications,Seed,10.0,,"Maven11, Lattice","Superscrypt, Arbitrum Foundation, Nascent, Offchain Labs, Hashkey, Chorus One",2025-11-28,USA,4Q25,2025,Decentralised satellite compute network leveraging blockchain for edge processing in orbit. $10M seed co-led by Maven11 and Lattice reflects crypto/space crossover thesis. Competes with traditional satellite data processing and emerging DePIN networks. Watch for first orbital compute demonstration and token launch.,https://blog.spacecomputer.io/spacecomputer-raises-10m/
Mastiska,Semiconductors,Fabless Design,Seed,10,,GCC sovereign wealth funds,Undisclosed,2025-11-28,UAE (Abu Dhabi),4Q25,2025,"Building sovereign AI inference accelerators for GCC, Southeast Asia, and Global South markets seeking independence from US/Chinese chip supply. Open-source RISC-V enabled, VLSI team in India.",https://www.eetimes.com/mastiska-raises-10m-seed-for-sovereign-ai-chip-play-in-uae/
Tutor Intelligence,Robotics,Warehouse & Logistics Automation,Series A,34.0,,Union Square Ventures,"Fundomo, Neo",2025-12-01,"USA (Cambridge, MA)",4Q25,2025,Robot learning platform enabling warehouse robots to learn new tasks from human demonstrations. $34M Series A from Union Square Ventures is notable — USV rarely invests in hardware-adjacent companies. Competes with Covariant and Dexterity in warehouse manipulation. Watch for deployment scale with e-commerce fulfilment operators.,https://www.businesswire.com/news/home/20251201299187/en/Tutor-Intelligence-Raises-34-Million-Series-A
Vinci,Semiconductors,EDA & IP,Series A,36.0,,Xora Innovation,"Khosla Ventures, Eclipse",2025-12-02,"USA (Palo Alto, CA)",4Q25,2025,"AI-powered EDA tools for chip design automation and verification. $36M Series A from Xora Innovation positions Vinci in the AI-for-EDA wave. Competes with Synopsys (SNPS), Cadence (CDNS), and emerging AI-EDA startups. Watch for design tool adoption by fabless customers and potential acquisition interest from EDA incumbents.",https://finance.yahoo.com/news/software-firm-vinci-speeds-hardware-130649208.html
xLight,Semiconductors,Equipment,Grant,150.0,,U.S. Dept. of Commerce (CHIPS Act),,2025-12-02,"USA (Palo Alto, CA)",4Q25,2025,Government CHIPS Act grant for advanced photonic integrated circuit manufacturing. $150M is a significant public investment in US photonics manufacturing capacity. Competes with GlobalFoundries and AIM Photonics in PIC fabrication. Watch for facility construction milestones and first production runs.,https://www.axios.com/2025/12/02/us-government-xlight-chips-act
AILOS Robotics,Robotics,Motion Control & Actuators,Seed,3.8,,"QBIC, High-Tech Grunderfonds (HTGF)","Wallonie Entreprendre, finance&invest.brussels",2025-12-02,Belgium (Brussels),4Q25,2025,Belgian startup developing compact robotic actuators for collaborative and humanoid robots. €3.8M seed co-led by QBIC and HTGF is typical for European deep-tech hardware. Competes with actuator divisions of Harmonic Drive and Maxon. Watch for integration partnerships with humanoid robot developers.,https://tech.eu/2025/12/02/ailos-robotics-gets-eur35m-to-scale-gearbox-manufacturing/
Niobium,Semiconductors,Fabless Design,Seed,23.0,,Blockchange Ventures,"Fusion Fund, Morgan Creek Capital, ADVentures (Analog Devices), Korea Development Bank, Rev1 Ventures",2025-12-03,"USA (Dayton, OH)",4Q25,2025,"Designs RISC-V AI accelerator chips optimised for edge and defence applications. $23M seed from Blockchange Ventures is large for seed-stage chip company; Dayton, OH location suggests defence-adjacent focus. Competes with SiFive, Esperanto, and Tenstorrent in RISC-V AI silicon. Watch for first tapeout and DoD design wins.",https://thequantuminsider.com/2025/12/03/niobium-23m-fhe-funding/
Unlimited Industries,Robotics,Industrial Robots,Seed,12.0,,"Andreessen Horowitz, CIV",,2025-12-03,USA,4Q25,2025,Develops affordable welding and fabrication robots for small and medium manufacturers. $12M seed co-led by a16z and CIV brings top-tier VC backing to industrial automation gap. Competes with Universal Robots (Teradyne TER) and FANUC (6954 JP) in SME segment. Watch for unit shipment ramp and channel partnerships.,https://www.globenewswire.com/news-release/2025/12/03/3198921/0/en/Unlimited-Industries-raises-12M.html
Autolane,Robotics,Autonomous Systems & Drones,Seed,7.4,,"Draper Associates, Hyperplane","LAUNCH, Feld Ventures",2025-12-03,"USA (Palo Alto, CA)",4Q25,2025,"Autonomous trucking platform for highway freight. $7.4M seed co-led by Draper Associates and Hyperplane. Competes with Aurora (AUR), TuSimple, and Waymo in autonomous trucking. Watch for highway pilot routes and shipper partnerships.",https://www.businesswire.com/news/home/20251202835140/en/Autolane-Secures-7.4M-in-Funding
MACH,Robotics,Autonomous Systems & Drones,Seed,7.0,,The Venture Collective (TVC),"Next Level Ventures, Midwest Growth Partners",2025-12-04,USA,4Q25,2025,"Defence drone startup building autonomous systems for military applications. $7M seed from TVC is modest but positions for defence contracts. Competes with Shield AI, AeroVironment (AVAV), and Kratos (KTOS). Watch for DoD SBIR/STTR awards and first operational deployments.",https://roboticsandautomationnews.com/2025/12/05/mach-secures-7-million-seed-funding/97409/
Archetype AI,Robotics,Machine Vision & Sensors,Series A,35.0,,"IAG Capital Partners, Hitachi Ventures","Bezos Expeditions, Venrock, Amazon Industrial Innovation Fund, Samsung Ventures, Systemiq Capital",2025-12-05,"USA (San Francisco, CA)",4Q25,2025,AI foundation model company building physics-aware models for understanding physical world data. $35M Series A co-led by IAG Capital and Hitachi Ventures is strong for perception AI. Competes with NVIDIA (NVDA) Isaac and Google DeepMind in physical AI modelling. Watch for enterprise deployments in manufacturing and energy.,https://www.businesswire.com/news/home/20251120000333/en/Archetype-AI-Raises-35M
Castelion,Space,Space Components,Series B,350,,"Altimeter Capital, Lightspeed",,2025-12-05,USA (El Segundo),4Q25,2025,Ex-SpaceX engineers building Blackbeard hypersonic missile system; 20+ flight tests in 2025.,https://techcrunch.com
Generative Bionics,Robotics,Humanoid & Service Robots,Undisclosed,81.0,,CDP Venture Capital (AI Fund),"AMD Ventures, Duferco, Eni Next, RoboIT, Tether",2025-12-08,Italy (Genoa),4Q25,2025,"Italian humanoid robotics company developing AI-powered prosthetics and humanoid platforms. €81M from CDP Venture Capital (Italian sovereign) is a landmark Italian robotics investment. Competes with Össur, Ottobock, and Open Bionics in prosthetics; broader humanoid market. Watch for European medical device approvals and humanoid platform commercialisation.",https://www.eurekalert.org/news-releases/1109288
DeepRobotics,Robotics,Humanoid & Service Robots,Series C,68.0,,"CMB International, ChinaAMC","China Telecom, China Unicom, Yunhui Capital, China Fortune-Tech Capital, Zhejiang University Education Foundation",2025-12-08,China (Hangzhou),4Q25,2025,"Chinese quadruped and humanoid robot developer with commercial products across industrial and consumer segments. $68M Series C from CMB International signals broader Chinese financial institution backing for robotics. Competes with Boston Dynamics, Unitree, and ANYbotics. Watch for international expansion and new humanoid platform launch.",https://www.caproasia.com/2025/12/25/china-robots-company-deep-robotics-plans-ipo-in-2026/
Dyna Robotics,Robotics,Humanoid & Service Robots,Seed,6,,Multiple,,2025-12-10,Germany,4Q25,2025,Humanoid robot startup building affordable general-purpose robots for small businesses.,https://techcrunch.com
K2 Space,Space,Satellite Communications,Series C,250.0,3000.0,Redpoint Ventures,"T. Rowe Price, Hedosophia, Altimeter Capital, Lightspeed, Alpine Space Ventures",2025-12-11,"USA (Torrance, CA)",4Q25,2025,"High-power satellite developer building mega-class spacecraft for the heavy-lift launch era. $250M Series C from Redpoint is one of the largest satellite startup raises of 2025. Competes with Maxar (acquired), Airbus Defence & Space, and Ball Aerospace. Watch for first Mega satellite launch and constellation operator contracts.",https://www.prnewswire.com/news-releases/k2-space-raises-250m-302638936.html
QuantumDiamonds,Semiconductors,Equipment,Government investment,178.0,,German Federal + Bavarian Govts (European Chips Act),,2025-12-15,Germany (Munich),4Q25,2025,"German government investment (European Chips Act) in quantum diamond sensing for semiconductor metrology. €178M is massive public investment in quantum sensing. Competes with Bruker, KLA (KLAC), and emerging quantum metrology startups. Watch for integration into semiconductor fab inspection workflows.",https://www.eu-startups.com/2025/12/quantumdiamonds-plans-e152m-investment/
ENCOS,Robotics,Motion Control & Actuators,Undisclosed,27.5,,"Huakong Fund, Shenzhen Capital Group",,2025-12-15,China (Nanjing),4Q25,2025,"Chinese precision motion control and actuator company for robotics and automation. $27.5M from Huakong Fund and Shenzhen Capital Group reflects Chinese government-adjacent capital flowing into robotics components. Competes with Harmonic Drive, Nabtesco (6268 JP), and domestic Chinese actuator makers. Watch for supply contracts with Chinese humanoid robot OEMs.",https://autonews.gasgoo.com/articles/news/china-robotics-industry-financing-recap-for-december-2025
Digantara,Space,Earth Observation,Series B,50.0,,"360 ONE Asset, SBI Investment (Japan)","Peak XV Partners, Kalaari Capital, Ronnie Screwvala",2025-12-16,India (Bengaluru),4Q25,2025,"Indian space situational awareness company providing orbital intelligence and debris tracking. $50M Series B is strong for Indian space-tech. Competes with LeoLabs, Slingshot Aerospace, and government SSA programmes. Watch for international government contracts and commercial satellite operator adoption.",https://techcrunch.com/2025/12/16/indias-digantara-raises-50m-for-space-based-missile-defence-tech/
Mythic,Semiconductors,Fabless Design,Series D,125.0,,DCVC,"NEA, Atreides Management, SoftBank, Honda, Lockheed Martin",2025-12-17,"USA (Austin, TX)",4Q25,2025,"Designs analog AI accelerator chips using in-memory computing architecture. $125M Series D from DCVC continues Mythic's long development cycle. Competes with NVIDIA (NVDA), Qualcomm (QCOM), and other edge AI chip companies. Watch for production ramp and automotive/IoT design wins.",https://www.bloomberg.com/news/articles/2025-12-17/ai-chip-startup-mythic-raises-125-million
Radiant Nuclear,Materials,Structural Materials,Series D,300.0,,"Draper Associates, Boost VC","Andreessen Horowitz, Ark Invest, DCVC, Founders Fund, Align Ventures, Chevron Tech Ventures",2025-12-17,"USA (Los Angeles, CA)",4Q25,2025,"Develops portable nuclear microreactors for remote and defence power applications. $300M Series D co-led by Draper and Boost VC is massive for nuclear startup, reflecting defence urgency for distributed energy. Competes with BWX Technologies (BWXT) and traditional diesel gensets. Watch for NRC licensing milestones and first DoD deployment.",https://techcrunch.com/2025/12/17/radiant-nuclear-raises-300m-for-its-semi-sized-1-mw-reactor/
HawkEye 360,Space,Earth Observation,Series E,150.0,,"NightDragon, Center15 Capital","SVB, Pinegrove Venture Partners, Hercules Capital",2025-12-18,"USA (Herndon, VA)",4Q25,2025,"RF signal intelligence satellite constellation providing maritime and land-based geolocation data. $150M Series E from NightDragon is strong for geospatial intelligence. Competes with Spire Global (SPIR), BlackSky (BKSY), and Planet (PL). Watch for NRO contract renewals and new constellation deployment.",https://satnews.com/2025/12/23/hawkeye-360-acquires-innovative-signal-analysis-secures-150m-series-e/
Moore Threads,Semiconductors,Fabless Design,IPO,1100.0,,Shanghai STAR Market,,2025-12-18,China (Beijing),4Q25,2025,"Chinese GPU designer that IPO'd on Shanghai STAR Market, developing general-purpose GPUs for AI and graphics. $1.1B IPO is a landmark for Chinese semiconductor self-sufficiency efforts. Competes with NVIDIA (NVDA) and AMD (AMD) in GPU market, though primarily serves domestic Chinese customers due to export controls. Watch for next-gen GPU tape-out and government procurement volumes.",https://news.crunchbase.com/venture/record-high-us-semiconductor-startup-funding-eoy-2025/
Enlightra,Semiconductors,Fabless Design,Seed,15,,Runa Capital,"Y Combinator, Pegasus Tech Ventures, Protocol Labs, Halo Labs, Asymmetry Ventures, TRAC VC",2025-12-18,Switzerland (Lausanne) / USA,4Q25,2025,Chip-scale multiwavelength lasers replacing copper wiring with ultra-high bandwidth optical links for AI data centers. Pilot production slated for 2027. Founded by Nobel Prize-contributing researchers.,https://tech.eu/2025/12/18/enlightra-exits-stealth-with-15m-to-power-energy-efficient-ai-data-centre-lasers/
Galbot,Robotics,Humanoid & Service Robots,Undisclosed,300.0,3000.0,China Mobile Industry Chain Leader Fund,"CICC Capital, Chinese Academy of Sciences Fund, Suzhou Venture Capital, CMG Media Fund",2025-12-19,China (Beijing),4Q25,2025,"Chinese humanoid robot developer focused on general-purpose embodied AI platforms. $300M from China Mobile Industry Chain Leader Fund is among the largest Chinese humanoid raises. Competes with Tesla (TSLA) Optimus, XPEV, and Chinese peers (Agibot, Unitree). Watch for mass production timeline and enterprise pilot deployments.",https://www.prnewswire.com/news-releases/galbot-secures-over-300-million-302647204.html
Moonshot AI,Robotics,Software & Simulation,Series C,500.0,,IDG Capital,"Alibaba Group, Tencent Holdings, Wang Huiwen (Meituan co-founder)",2026-01-01,China (Beijing),1Q26,2026,"Chinese AI lab behind the Kimi large language model, one of China's leading LLM platforms. $500M Series C from IDG Capital reflects continued Chinese AI model race investment. Competes with ByteDance, Baidu (BIDU), and Alibaba in Chinese LLM market. Watch for enterprise monetisation and multimodal expansion.",https://www.caixinglobal.com/2026-01-01/moonshot-ai-rules-out-quick-ipo-after-raising-500-million-102399382.html
Cambium,Materials,Battery Materials,Series B,100.0,,Decarbonization Partners (BlackRock + Temasek),"Breakthrough Energy Ventures, S2G Ventures, Prelude Ventures",2026-01-09,"USA (Lexington, MA)",1Q26,2026,"Develops advanced lithium-ion battery cathode materials using recycled feedstock. $100M Series B from Decarbonization Partners (BlackRock + Temasek JV) is a strong sustainability-focused investment. Competes with Umicore, BASF, and Albemarle (ALB) in cathode materials. Watch for first commercial supply agreements with battery cell manufacturers.",https://www.cambium.com/news/series-b
Lyte,Robotics,Autonomous Systems & Drones,Undisclosed,107.0,,,,2026-01-09,USA,1Q26,2026,Defence drone and autonomous systems company (details limited due to stealth operations). $107M at undisclosed round stage and undisclosed lead is unusually opaque — suggests classified defence programme alignment. Watch for DoD contract disclosures.,https://techcrunch.com/2026/01/09/lyte-raises-107m/
NEU Battery Materials,Materials,Battery Materials,Pre-Series A,,,"SGInnovate, Shift4Good","CJIC, M7 Holdings",2026-01-09,Singapore,1Q26,2026,Singapore-based battery materials recycling and upcycling startup. Pre-Series A from SGInnovate and Shift4Good; amount undisclosed but likely $2–5M range. Competes with Li-Cycle (LICY) and Redwood Materials in battery recycling. Watch for pilot plant commissioning and first offtake agreements.,https://solarquarter.com/2026/01/09/neu-battery-materials-secures-pre-series-a-funding-to-scale-lfp-battery-recycling-technology/
Harmattan AI,Robotics,Autonomous Systems & Drones,Series B,200.0,1400.0,Dassault Aviation,"FirstMark Capital, Financiere Saint James, Kima Ventures",2026-01-12,France (Paris),1Q26,2026,"French AI compute company building sovereign AI infrastructure with Dassault Aviation backing. $200M Series B led by Dassault Aviation signals French defence-industrial complex alignment with AI sovereignty. Competes with Nscale, CoreWeave, and US hyperscalers in European AI compute. Watch for French government cloud contracts and GPU cluster deployments.",https://techcrunch.com/2026/01/12/harmattan-ai-raises-200m-series-b-led-by-dassault-aviation-becomes-defense-unicorn/
Skild AI,Robotics,Software & Simulation,Series C,1400.0,14000.0,SoftBank Group,"NVentures (NVIDIA), Macquarie Capital, Bezos Expeditions, 1789 Capital, Disruptive, Lightspeed, Felicis, Coatue, Sequoia Capital, Samsung, LG, Schneider, CommonSpirit, Salesforce Ventures",2026-01-14,"USA (Pittsburgh, PA)",1Q26,2026,"Pittsburgh-based universal robot foundation model company developing a general-purpose robot 'brain'. $1.4B Series C from SoftBank is the largest robotics software raise to date. Competes with Physical Intelligence, Google DeepMind Robotics, and Tesla (TSLA) in foundation models for robots. Watch for first commercial deployments and OEM licensing deals.",https://techcrunch.com/2026/01/14/robotic-software-maker-skild-ai-hits-14b-valuation/
Etched.ai,Semiconductors,Fabless Design,Undisclosed,500.0,5000.0,Stripes,,2026-01-14,"USA (San Francisco, CA)",1Q26,2026,"Develops transformer-specific ASIC chips (Sohu) designed to outperform general-purpose GPUs on transformer inference. $500M round led by Stripes at $5B valuation pushes total raised near $1B. Competes head-on with NVIDIA (NVDA) in AI inference and with other ASIC startups (Groq, Cerebras). High-risk/high-reward bet on transformer architecture dominance. Watch for Sohu production timeline at TSMC (TSM) 4nm and first customer benchmarks.",https://techcrunch.com/2026/01/14/etched-raises-500m/
Mytra,Robotics,Warehouse & Logistics Automation,Series C,120.0,,Avenir Growth,,2026-01-14,"USA (Brisbane, CA)",1Q26,2026,"Software-defined warehouse robotics platform automating heavy material movement with climbing bots. $120M Series C led by Avenir Growth at ~$570M valuation; total raised exceeds $200M. Competes with Symbotic (SYM), AutoStore, and Exotec in warehouse ASRS. Ex-Tesla founders bring strong hardware-software integration DNA. Watch for Fortune 100 deployment scale-up and unit economics proof points.",https://www.therobotreport.com/mytra-raises-120m-series-c/
Tulip Interfaces,Robotics,Software & Simulation,Series D,120.0,1300.0,Mitsubishi Electric,,2026-01-14,"USA (Somerville, MA)",1Q26,2026,"No-code frontline operations platform embedding AI into manufacturing workflows. $120M Series D led by Mitsubishi Electric at $1.3B unicorn valuation — a strategic investment signalling MHI's DX pivot. Competes with Tulip competes with Siemens (SIE GR) MES, PTC, and Rockwell (ROK) FactoryTalk. Watch for Mitsubishi Electric factory rollouts and expansion in pharma/biotech verticals.",https://tulip.co/press/series-d
